uid,count,prop
2-1-1.txt 181,3,0.0016901408450704226
3-2-1.txt 1138,3,0.0016901408450704226
5-3-4.txt 796,3,0.0016901408450704226
1-1-1.txt 769,2,0.0011267605633802818
1-2-1.txt 808,2,0.0011267605633802818
1-4-1.txt 185,2,0.0011267605633802818
1-4-1.txt 199,2,0.0011267605633802818
2-1-1.txt 412,2,0.0011267605633802818
3-4-1.txt 942,2,0.0011267605633802818
4-1-1.txt 483,2,0.0011267605633802818
4-3-1.txt 540,2,0.0011267605633802818
4-3-1.txt 57,2,0.0011267605633802818
5-1-1.txt 72,2,0.0011267605633802818
5-2-1.txt 256,2,0.0011267605633802818
5-3-3.txt 115,2,0.0011267605633802818
5-3-4.txt 440,2,0.0011267605633802818
5-4-1.txt 75,2,0.0011267605633802818
6-2-1.txt 133,2,0.0011267605633802818
7-1-1.txt 1025,2,0.0011267605633802818
7-2-2.txt 1122,2,0.0011267605633802818
7-5-2.txt 1251,2,0.0011267605633802818
1-1-1.txt 107,1,5.633802816901409e-4
1-1-1.txt 113,1,5.633802816901409e-4
1-1-1.txt 121,1,5.633802816901409e-4
1-1-1.txt 127,1,5.633802816901409e-4
1-1-1.txt 141,1,5.633802816901409e-4
1-1-1.txt 147,1,5.633802816901409e-4
1-1-1.txt 155,1,5.633802816901409e-4
1-1-1.txt 159,1,5.633802816901409e-4
1-1-1.txt 165,1,5.633802816901409e-4
1-1-1.txt 175,1,5.633802816901409e-4
1-1-1.txt 181,1,5.633802816901409e-4
1-1-1.txt 189,1,5.633802816901409e-4
1-1-1.txt 197,1,5.633802816901409e-4
1-1-1.txt 209,1,5.633802816901409e-4
1-1-1.txt 219,1,5.633802816901409e-4
1-1-1.txt 231,1,5.633802816901409e-4
1-1-1.txt 239,1,5.633802816901409e-4
1-1-1.txt 251,1,5.633802816901409e-4
1-1-1.txt 261,1,5.633802816901409e-4
1-1-1.txt 27,1,5.633802816901409e-4
1-1-1.txt 277,1,5.633802816901409e-4
1-1-1.txt 291,1,5.633802816901409e-4
1-1-1.txt 299,1,5.633802816901409e-4
1-1-1.txt 30,1,5.633802816901409e-4
1-1-1.txt 303,1,5.633802816901409e-4
1-1-1.txt 319,1,5.633802816901409e-4
1-1-1.txt 329,1,5.633802816901409e-4
1-1-1.txt 337,1,5.633802816901409e-4
1-1-1.txt 353,1,5.633802816901409e-4
1-1-1.txt 359,1,5.633802816901409e-4
1-1-1.txt 361,1,5.633802816901409e-4
1-1-1.txt 363,1,5.633802816901409e-4
1-1-1.txt 365,1,5.633802816901409e-4
1-1-1.txt 373,1,5.633802816901409e-4
1-1-1.txt 381,1,5.633802816901409e-4
1-1-1.txt 387,1,5.633802816901409e-4
1-1-1.txt 395,1,5.633802816901409e-4
1-1-1.txt 405,1,5.633802816901409e-4
1-1-1.txt 413,1,5.633802816901409e-4
1-1-1.txt 423,1,5.633802816901409e-4
1-1-1.txt 429,1,5.633802816901409e-4
1-1-1.txt 43,1,5.633802816901409e-4
1-1-1.txt 437,1,5.633802816901409e-4
1-1-1.txt 447,1,5.633802816901409e-4
1-1-1.txt 457,1,5.633802816901409e-4
1-1-1.txt 463,1,5.633802816901409e-4
1-1-1.txt 469,1,5.633802816901409e-4
1-1-1.txt 481,1,5.633802816901409e-4
1-1-1.txt 497,1,5.633802816901409e-4
1-1-1.txt 503,1,5.633802816901409e-4
1-1-1.txt 517,1,5.633802816901409e-4
1-1-1.txt 525,1,5.633802816901409e-4
1-1-1.txt 533,1,5.633802816901409e-4
1-1-1.txt 543,1,5.633802816901409e-4
1-1-1.txt 55,1,5.633802816901409e-4
1-1-1.txt 551,1,5.633802816901409e-4
1-1-1.txt 555,1,5.633802816901409e-4
1-1-1.txt 559,1,5.633802816901409e-4
1-1-1.txt 561,1,5.633802816901409e-4
1-1-1.txt 577,1,5.633802816901409e-4
1-1-1.txt 585,1,5.633802816901409e-4
1-1-1.txt 593,1,5.633802816901409e-4
1-1-1.txt 603,1,5.633802816901409e-4
1-1-1.txt 61,1,5.633802816901409e-4
1-1-1.txt 613,1,5.633802816901409e-4
1-1-1.txt 627,1,5.633802816901409e-4
1-1-1.txt 637,1,5.633802816901409e-4
1-1-1.txt 649,1,5.633802816901409e-4
1-1-1.txt 657,1,5.633802816901409e-4
1-1-1.txt 665,1,5.633802816901409e-4
1-1-1.txt 679,1,5.633802816901409e-4
1-1-1.txt 685,1,5.633802816901409e-4
1-1-1.txt 693,1,5.633802816901409e-4
1-1-1.txt 695,1,5.633802816901409e-4
1-1-1.txt 705,1,5.633802816901409e-4
1-1-1.txt 710,1,5.633802816901409e-4
1-1-1.txt 717,1,5.633802816901409e-4
1-1-1.txt 718,1,5.633802816901409e-4
1-1-1.txt 727,1,5.633802816901409e-4
1-1-1.txt 731,1,5.633802816901409e-4
1-1-1.txt 737,1,5.633802816901409e-4
1-1-1.txt 743,1,5.633802816901409e-4
1-1-1.txt 757,1,5.633802816901409e-4
1-1-1.txt 781,1,5.633802816901409e-4
1-1-1.txt 86,1,5.633802816901409e-4
1-2-1.txt 106,1,5.633802816901409e-4
1-2-1.txt 116,1,5.633802816901409e-4
1-2-1.txt 144,1,5.633802816901409e-4
1-2-1.txt 160,1,5.633802816901409e-4
1-2-1.txt 174,1,5.633802816901409e-4
1-2-1.txt 190,1,5.633802816901409e-4
1-2-1.txt 202,1,5.633802816901409e-4
1-2-1.txt 218,1,5.633802816901409e-4
1-2-1.txt 248,1,5.633802816901409e-4
1-2-1.txt 270,1,5.633802816901409e-4
1-2-1.txt 28,1,5.633802816901409e-4
1-2-1.txt 292,1,5.633802816901409e-4
1-2-1.txt 306,1,5.633802816901409e-4
1-2-1.txt 332,1,5.633802816901409e-4
1-2-1.txt 360,1,5.633802816901409e-4
1-2-1.txt 390,1,5.633802816901409e-4
1-2-1.txt 412,1,5.633802816901409e-4
1-2-1.txt 420,1,5.633802816901409e-4
1-2-1.txt 442,1,5.633802816901409e-4
1-2-1.txt 458,1,5.633802816901409e-4
1-2-1.txt 46,1,5.633802816901409e-4
1-2-1.txt 482,1,5.633802816901409e-4
1-2-1.txt 494,1,5.633802816901409e-4
1-2-1.txt 52,1,5.633802816901409e-4
1-2-1.txt 534,1,5.633802816901409e-4
1-2-1.txt 550,1,5.633802816901409e-4
1-2-1.txt 576,1,5.633802816901409e-4
1-2-1.txt 58,1,5.633802816901409e-4
1-2-1.txt 604,1,5.633802816901409e-4
1-2-1.txt 620,1,5.633802816901409e-4
1-2-1.txt 634,1,5.633802816901409e-4
1-2-1.txt 648,1,5.633802816901409e-4
1-2-1.txt 66,1,5.633802816901409e-4
1-2-1.txt 668,1,5.633802816901409e-4
1-2-1.txt 698,1,5.633802816901409e-4
1-2-1.txt 716,1,5.633802816901409e-4
1-2-1.txt 74,1,5.633802816901409e-4
1-2-1.txt 740,1,5.633802816901409e-4
1-2-1.txt 774,1,5.633802816901409e-4
1-2-1.txt 796,1,5.633802816901409e-4
1-2-1.txt 807,1,5.633802816901409e-4
1-2-1.txt 824,1,5.633802816901409e-4
1-2-1.txt 84,1,5.633802816901409e-4
1-2-1.txt 856,1,5.633802816901409e-4
1-2-1.txt 882,1,5.633802816901409e-4
1-2-1.txt 906,1,5.633802816901409e-4
1-2-1.txt 924,1,5.633802816901409e-4
1-2-1.txt 948,1,5.633802816901409e-4
1-3-1.txt 1033,1,5.633802816901409e-4
1-3-1.txt 105,1,5.633802816901409e-4
1-3-1.txt 1055,1,5.633802816901409e-4
1-3-1.txt 1077,1,5.633802816901409e-4
1-3-1.txt 1091,1,5.633802816901409e-4
1-3-1.txt 1111,1,5.633802816901409e-4
1-3-1.txt 1139,1,5.633802816901409e-4
1-3-1.txt 1171,1,5.633802816901409e-4
1-3-1.txt 1185,1,5.633802816901409e-4
1-3-1.txt 1199,1,5.633802816901409e-4
1-3-1.txt 1213,1,5.633802816901409e-4
1-3-1.txt 1245,1,5.633802816901409e-4
1-3-1.txt 1275,1,5.633802816901409e-4
1-3-1.txt 1299,1,5.633802816901409e-4
1-3-1.txt 1323,1,5.633802816901409e-4
1-3-1.txt 1359,1,5.633802816901409e-4
1-3-1.txt 1367,1,5.633802816901409e-4
1-3-1.txt 1397,1,5.633802816901409e-4
1-3-1.txt 1419,1,5.633802816901409e-4
1-3-1.txt 1437,1,5.633802816901409e-4
1-3-1.txt 147,1,5.633802816901409e-4
1-3-1.txt 1471,1,5.633802816901409e-4
1-3-1.txt 1519,1,5.633802816901409e-4
1-3-1.txt 1537,1,5.633802816901409e-4
1-3-1.txt 1551,1,5.633802816901409e-4
1-3-1.txt 181,1,5.633802816901409e-4
1-3-1.txt 197,1,5.633802816901409e-4
1-3-1.txt 207,1,5.633802816901409e-4
1-3-1.txt 215,1,5.633802816901409e-4
1-3-1.txt 231,1,5.633802816901409e-4
1-3-1.txt 249,1,5.633802816901409e-4
1-3-1.txt 279,1,5.633802816901409e-4
1-3-1.txt 305,1,5.633802816901409e-4
1-3-1.txt 33,1,5.633802816901409e-4
1-3-1.txt 333,1,5.633802816901409e-4
1-3-1.txt 361,1,5.633802816901409e-4
1-3-1.txt 387,1,5.633802816901409e-4
1-3-1.txt 39,1,5.633802816901409e-4
1-3-1.txt 405,1,5.633802816901409e-4
1-3-1.txt 429,1,5.633802816901409e-4
1-3-1.txt 455,1,5.633802816901409e-4
1-3-1.txt 503,1,5.633802816901409e-4
1-3-1.txt 527,1,5.633802816901409e-4
1-3-1.txt 559,1,5.633802816901409e-4
1-3-1.txt 659,1,5.633802816901409e-4
1-3-1.txt 679,1,5.633802816901409e-4
1-3-1.txt 709,1,5.633802816901409e-4
1-3-1.txt 727,1,5.633802816901409e-4
1-3-1.txt 735,1,5.633802816901409e-4
1-3-1.txt 767,1,5.633802816901409e-4
1-3-1.txt 785,1,5.633802816901409e-4
1-3-1.txt 81,1,5.633802816901409e-4
1-3-1.txt 815,1,5.633802816901409e-4
1-3-1.txt 835,1,5.633802816901409e-4
1-3-1.txt 853,1,5.633802816901409e-4
1-3-1.txt 881,1,5.633802816901409e-4
1-3-1.txt 905,1,5.633802816901409e-4
1-3-1.txt 935,1,5.633802816901409e-4
1-3-1.txt 975,1,5.633802816901409e-4
1-3-1.txt 993,1,5.633802816901409e-4
1-3-1.txt 997,1,5.633802816901409e-4
1-4-1.txt 103,1,5.633802816901409e-4
1-4-1.txt 117,1,5.633802816901409e-4
1-4-1.txt 127,1,5.633802816901409e-4
1-4-1.txt 133,1,5.633802816901409e-4
1-4-1.txt 141,1,5.633802816901409e-4
1-4-1.txt 153,1,5.633802816901409e-4
1-4-1.txt 165,1,5.633802816901409e-4
1-4-1.txt 179,1,5.633802816901409e-4
1-4-1.txt 201,1,5.633802816901409e-4
1-4-1.txt 217,1,5.633802816901409e-4
1-4-1.txt 227,1,5.633802816901409e-4
1-4-1.txt 237,1,5.633802816901409e-4
1-4-1.txt 247,1,5.633802816901409e-4
1-4-1.txt 255,1,5.633802816901409e-4
1-4-1.txt 265,1,5.633802816901409e-4
1-4-1.txt 275,1,5.633802816901409e-4
1-4-1.txt 283,1,5.633802816901409e-4
1-4-1.txt 295,1,5.633802816901409e-4
1-4-1.txt 305,1,5.633802816901409e-4
1-4-1.txt 313,1,5.633802816901409e-4
1-4-1.txt 323,1,5.633802816901409e-4
1-4-1.txt 333,1,5.633802816901409e-4
1-4-1.txt 343,1,5.633802816901409e-4
1-4-1.txt 351,1,5.633802816901409e-4
1-4-1.txt 359,1,5.633802816901409e-4
1-4-1.txt 367,1,5.633802816901409e-4
1-4-1.txt 37,1,5.633802816901409e-4
1-4-1.txt 375,1,5.633802816901409e-4
1-4-1.txt 379,1,5.633802816901409e-4
1-4-1.txt 389,1,5.633802816901409e-4
1-4-1.txt 395,1,5.633802816901409e-4
1-4-1.txt 403,1,5.633802816901409e-4
1-4-1.txt 41,1,5.633802816901409e-4
1-4-1.txt 417,1,5.633802816901409e-4
1-4-1.txt 433,1,5.633802816901409e-4
1-4-1.txt 437,1,5.633802816901409e-4
1-4-1.txt 49,1,5.633802816901409e-4
1-4-1.txt 55,1,5.633802816901409e-4
1-4-1.txt 63,1,5.633802816901409e-4
1-4-1.txt 67,1,5.633802816901409e-4
1-4-1.txt 73,1,5.633802816901409e-4
1-4-1.txt 87,1,5.633802816901409e-4
1-5-1.txt 107,1,5.633802816901409e-4
1-5-1.txt 117,1,5.633802816901409e-4
1-5-1.txt 133,1,5.633802816901409e-4
1-5-1.txt 139,1,5.633802816901409e-4
1-5-1.txt 149,1,5.633802816901409e-4
1-5-1.txt 173,1,5.633802816901409e-4
1-5-1.txt 187,1,5.633802816901409e-4
1-5-1.txt 203,1,5.633802816901409e-4
1-5-1.txt 219,1,5.633802816901409e-4
1-5-1.txt 233,1,5.633802816901409e-4
1-5-1.txt 251,1,5.633802816901409e-4
1-5-1.txt 271,1,5.633802816901409e-4
1-5-1.txt 287,1,5.633802816901409e-4
1-5-1.txt 307,1,5.633802816901409e-4
1-5-1.txt 319,1,5.633802816901409e-4
1-5-1.txt 323,1,5.633802816901409e-4
1-5-1.txt 335,1,5.633802816901409e-4
1-5-1.txt 349,1,5.633802816901409e-4
1-5-1.txt 35,1,5.633802816901409e-4
1-5-1.txt 365,1,5.633802816901409e-4
1-5-1.txt 377,1,5.633802816901409e-4
1-5-1.txt 387,1,5.633802816901409e-4
1-5-1.txt 39,1,5.633802816901409e-4
1-5-1.txt 401,1,5.633802816901409e-4
1-5-1.txt 421,1,5.633802816901409e-4
1-5-1.txt 445,1,5.633802816901409e-4
1-5-1.txt 449,1,5.633802816901409e-4
1-5-1.txt 461,1,5.633802816901409e-4
1-5-1.txt 473,1,5.633802816901409e-4
1-5-1.txt 49,1,5.633802816901409e-4
1-5-1.txt 493,1,5.633802816901409e-4
1-5-1.txt 503,1,5.633802816901409e-4
1-5-1.txt 515,1,5.633802816901409e-4
1-5-1.txt 523,1,5.633802816901409e-4
1-5-1.txt 53,1,5.633802816901409e-4
1-5-1.txt 537,1,5.633802816901409e-4
1-5-1.txt 545,1,5.633802816901409e-4
1-5-1.txt 551,1,5.633802816901409e-4
1-5-1.txt 61,1,5.633802816901409e-4
1-5-1.txt 67,1,5.633802816901409e-4
1-5-1.txt 75,1,5.633802816901409e-4
1-5-1.txt 81,1,5.633802816901409e-4
1-5-1.txt 87,1,5.633802816901409e-4
1-5-1.txt 91,1,5.633802816901409e-4
1-5-1.txt 92,1,5.633802816901409e-4
1-5-1.txt 97,1,5.633802816901409e-4
2-1-1.txt 108,1,5.633802816901409e-4
2-1-1.txt 113,1,5.633802816901409e-4
2-1-1.txt 122,1,5.633802816901409e-4
2-1-1.txt 132,1,5.633802816901409e-4
2-1-1.txt 143,1,5.633802816901409e-4
2-1-1.txt 152,1,5.633802816901409e-4
2-1-1.txt 164,1,5.633802816901409e-4
2-1-1.txt 191,1,5.633802816901409e-4
2-1-1.txt 196,1,5.633802816901409e-4
2-1-1.txt 205,1,5.633802816901409e-4
2-1-1.txt 219,1,5.633802816901409e-4
2-1-1.txt 227,1,5.633802816901409e-4
2-1-1.txt 242,1,5.633802816901409e-4
2-1-1.txt 244,1,5.633802816901409e-4
2-1-1.txt 245,1,5.633802816901409e-4
2-1-1.txt 251,1,5.633802816901409e-4
2-1-1.txt 263,1,5.633802816901409e-4
2-1-1.txt 274,1,5.633802816901409e-4
2-1-1.txt 284,1,5.633802816901409e-4
2-1-1.txt 289,1,5.633802816901409e-4
2-1-1.txt 306,1,5.633802816901409e-4
2-1-1.txt 315,1,5.633802816901409e-4
2-1-1.txt 326,1,5.633802816901409e-4
2-1-1.txt 339,1,5.633802816901409e-4
2-1-1.txt 351,1,5.633802816901409e-4
2-1-1.txt 366,1,5.633802816901409e-4
2-1-1.txt 37,1,5.633802816901409e-4
2-1-1.txt 376,1,5.633802816901409e-4
2-1-1.txt 382,1,5.633802816901409e-4
2-1-1.txt 394,1,5.633802816901409e-4
2-1-1.txt 402,1,5.633802816901409e-4
2-1-1.txt 422,1,5.633802816901409e-4
2-1-1.txt 440,1,5.633802816901409e-4
2-1-1.txt 448,1,5.633802816901409e-4
2-1-1.txt 467,1,5.633802816901409e-4
2-1-1.txt 472,1,5.633802816901409e-4
2-1-1.txt 485,1,5.633802816901409e-4
2-1-1.txt 49,1,5.633802816901409e-4
2-1-1.txt 493,1,5.633802816901409e-4
2-1-1.txt 507,1,5.633802816901409e-4
2-1-1.txt 514,1,5.633802816901409e-4
2-1-1.txt 525,1,5.633802816901409e-4
2-1-1.txt 542,1,5.633802816901409e-4
2-1-1.txt 557,1,5.633802816901409e-4
2-1-1.txt 56,1,5.633802816901409e-4
2-1-1.txt 572,1,5.633802816901409e-4
2-1-1.txt 587,1,5.633802816901409e-4
2-1-1.txt 602,1,5.633802816901409e-4
2-1-1.txt 612,1,5.633802816901409e-4
2-1-1.txt 626,1,5.633802816901409e-4
2-1-1.txt 635,1,5.633802816901409e-4
2-1-1.txt 645,1,5.633802816901409e-4
2-1-1.txt 656,1,5.633802816901409e-4
2-1-1.txt 659,1,5.633802816901409e-4
2-1-1.txt 69,1,5.633802816901409e-4
2-1-1.txt 72,1,5.633802816901409e-4
2-1-1.txt 79,1,5.633802816901409e-4
2-1-1.txt 86,1,5.633802816901409e-4
2-1-1.txt 90,1,5.633802816901409e-4
2-1-1.txt 99,1,5.633802816901409e-4
2-2-1.txt 100,1,5.633802816901409e-4
2-2-1.txt 115,1,5.633802816901409e-4
2-2-1.txt 119,1,5.633802816901409e-4
2-2-1.txt 133,1,5.633802816901409e-4
2-2-1.txt 147,1,5.633802816901409e-4
2-2-1.txt 181,1,5.633802816901409e-4
2-2-1.txt 205,1,5.633802816901409e-4
2-2-1.txt 207,1,5.633802816901409e-4
2-2-1.txt 209,1,5.633802816901409e-4
2-2-1.txt 65,1,5.633802816901409e-4
2-2-1.txt 89,1,5.633802816901409e-4
3-1-1.txt 115,1,5.633802816901409e-4
3-1-1.txt 129,1,5.633802816901409e-4
3-1-1.txt 149,1,5.633802816901409e-4
3-1-1.txt 169,1,5.633802816901409e-4
3-1-1.txt 177,1,5.633802816901409e-4
3-1-1.txt 181,1,5.633802816901409e-4
3-1-1.txt 193,1,5.633802816901409e-4
3-1-1.txt 205,1,5.633802816901409e-4
3-1-1.txt 213,1,5.633802816901409e-4
3-1-1.txt 221,1,5.633802816901409e-4
3-1-1.txt 227,1,5.633802816901409e-4
3-1-1.txt 241,1,5.633802816901409e-4
3-1-1.txt 247,1,5.633802816901409e-4
3-1-1.txt 255,1,5.633802816901409e-4
3-1-1.txt 275,1,5.633802816901409e-4
3-1-1.txt 285,1,5.633802816901409e-4
3-1-1.txt 295,1,5.633802816901409e-4
3-1-1.txt 307,1,5.633802816901409e-4
3-1-1.txt 315,1,5.633802816901409e-4
3-1-1.txt 321,1,5.633802816901409e-4
3-1-1.txt 331,1,5.633802816901409e-4
3-1-1.txt 341,1,5.633802816901409e-4
3-1-1.txt 357,1,5.633802816901409e-4
3-1-1.txt 367,1,5.633802816901409e-4
3-1-1.txt 375,1,5.633802816901409e-4
3-1-1.txt 379,1,5.633802816901409e-4
3-1-1.txt 393,1,5.633802816901409e-4
3-1-1.txt 40,1,5.633802816901409e-4
3-1-1.txt 407,1,5.633802816901409e-4
3-1-1.txt 415,1,5.633802816901409e-4
3-1-1.txt 423,1,5.633802816901409e-4
3-1-1.txt 426,1,5.633802816901409e-4
3-1-1.txt 429,1,5.633802816901409e-4
3-1-1.txt 43,1,5.633802816901409e-4
3-1-1.txt 433,1,5.633802816901409e-4
3-1-1.txt 435,1,5.633802816901409e-4
3-1-1.txt 61,1,5.633802816901409e-4
3-1-1.txt 69,1,5.633802816901409e-4
3-1-1.txt 75,1,5.633802816901409e-4
3-1-1.txt 81,1,5.633802816901409e-4
3-1-1.txt 89,1,5.633802816901409e-4
3-2-1.txt 1015,1,5.633802816901409e-4
3-2-1.txt 1049,1,5.633802816901409e-4
3-2-1.txt 1075,1,5.633802816901409e-4
3-2-1.txt 1095,1,5.633802816901409e-4
3-2-1.txt 1120,1,5.633802816901409e-4
3-2-1.txt 1128,1,5.633802816901409e-4
3-2-1.txt 1135,1,5.633802816901409e-4
3-2-1.txt 1137,1,5.633802816901409e-4
3-2-1.txt 145,1,5.633802816901409e-4
3-2-1.txt 185,1,5.633802816901409e-4
3-2-1.txt 205,1,5.633802816901409e-4
3-2-1.txt 243,1,5.633802816901409e-4
3-2-1.txt 260,1,5.633802816901409e-4
3-2-1.txt 307,1,5.633802816901409e-4
3-2-1.txt 331,1,5.633802816901409e-4
3-2-1.txt 353,1,5.633802816901409e-4
3-2-1.txt 418,1,5.633802816901409e-4
3-2-1.txt 444,1,5.633802816901409e-4
3-2-1.txt 498,1,5.633802816901409e-4
3-2-1.txt 52,1,5.633802816901409e-4
3-2-1.txt 549,1,5.633802816901409e-4
3-2-1.txt 628,1,5.633802816901409e-4
